program_type,year,sport,gold,silver,bronze,total,source_name,source_url,last_verified,nil_safe,notes
Olympic,2024,Archery,0,1,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Sport Climbing,0,1,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Tennis,0,1,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Volleyball,0,1,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Soccer,1,0,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Golf,1,0,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Surfing,1,0,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Artistic Swimming,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,BMX Freestyle,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Canoe Sprint,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Diving,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Equestrian - Jumping,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Mountain Bike,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Triathlon,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Basketball 3x3,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Boxing,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Breaking,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Canoe Slalom,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Rugby,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Sailing,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Taekwondo,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Water Polo,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Track & Field,10,14,14,38,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Swimming,10,17,3,30,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Cycling,4,1,3,8,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Triathlon,3,3,2,8,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Equestrian Dressage,5,1,1,7,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Archery,2,0,0,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Wheelchair Basketball,1,1,0,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Judo,0,1,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Sitting Volleyball,1,0,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Badminton,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Rowing,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Shooting,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Wheelchair Rugby,0,1,0,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Canoe Sprint,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Table Tennis,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Paralympic,2024,Para Taekwondo,0,0,1,1,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/paralympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
